Location,Area,Bedrooms,Bathrooms,Parking,Floor,Age_of_Property,Furnished_Status,Price
Mulund,3082,2,2,1.0,6.0,15.0,Semi-Furnished,23004706.747408923
Kurla,1387,1,1,0.0,24.0,10.0,Unfurnished,8966954.505082179
Bandra,1618,2,2,1.0,7.0,25.0,Unfurnished,23735640.605162103
Mulund,1320,4,4,1.0,20.0,39.0,Unfurnished,8594202.937604917
Worli,3185,2,2,0.0,23.0,0.0,Semi-Furnished,54960885.23917566
Powai,1755,4,5,1.0,29.0,25.0,Furnished,21471910.368851572
Worli,569,3,3,1.0,26.0,27.0,Unfurnished,9322474.547038237
Lower Parel,920,4,4,2.0,25.0,8.0,Furnished,14103249.699497592
Lower Parel,1886,3,2,,11.0,21.0,Unfurnished,26524047.375313826
Goregaon,439,1,1,1.0,15.0,7.0,Furnished,4191308.747787977
Worli,1960,3,3,1.0,11.0,26.0,Semi-Furnished,25763100.720740285
Malad,3732,1,2,1.0,18.0,38.0,Semi-Furnished,26564048.100270193
Kurla,1818,3,3,1.0,9.0,18.0,Furnished,14170705.20734314
Kandivali,1354,4,4,0.0,6.0,24.0,Unfurnished,9255159.538005473
Worli,3697,2,2,1.0,11.0,37.0,Furnished,51422302.329224356
Goregaon,1383,2,3,1.0,19.0,20.0,Unfurnished,11975895.202331897
Thane,3595,3,3,0.0,,23.0,Unfurnished,24742899.629869834
Dadar,1374,4,4,1.0,,23.0,Semi-Furnished,15791479.739527073
Bandra,437,3,4,1.0,8.0,18.0,Unfurnished,6100458.187099842
Lower Parel,2775,2,1,1.0,6.0,1.0,Furnished,42165071.426601306
Thane,1674,3,4,0.0,19.0,13.0,Unfurnished,13113737.816589233
Goregaon,1599,2,1,1.0,21.0,31.0,Semi-Furnished,11667823.872748397
Mulund,2025,3,3,1.0,25.0,31.0,Semi-Furnished,15460494.82892616
Kandivali,1313,5,5,1.0,13.0,27.0,Semi-Furnished,8585021.243894635
Kurla,853,3,3,1.0,10.0,38.0,Semi-Furnished,5557055.620564525
Kurla,436,4,5,1.0,6.0,39.0,Unfurnished,2800353.7103679953
Kurla,3787,1,1,2.0,28.0,39.0,Furnished,28659125.456061527
Dadar,2111,3,3,1.0,9.0,12.0,Semi-Furnished,27545806.11209441
Kandivali,3420,4,4,2.0,28.0,11.0,Furnished,29171770.529590666
Dadar,1195,1,1,1.0,8.0,7.0,Unfurnished,11856580.64383211
Lower Parel,1372,4,4,1.0,3.0,14.0,Furnished,21457958.54681744
Dadar,992,2,1,1.0,15.0,25.0,Semi-Furnished,10749638.385447279
Andheri,1537,3,2,0.0,9.0,11.0,Furnished,16309330.508023435
Kandivali,3511,4,3,0.0,18.0,26.0,Semi-Furnished,24454698.489506714
Malad,1724,3,2,1.0,23.0,17.0,Unfurnished,13479401.209104896
Kandivali,2671,1,1,1.0,16.0,35.0,Unfurnished,14247273.166895196
Goregaon,717,3,3,2.0,8.0,26.0,Unfurnished,5063933.016697351
Andheri,2796,3,4,,12.0,8.0,Semi-Furnished,24814656.422895066
Kurla,2562,4,5,0.0,0.0,,Unfurnished,16510577.0705816
Goregaon,3145,2,1,1.0,1.0,0.0,Semi-Furnished,25952560.03266868
Goregaon,1746,2,2,1.0,12.0,6.0,Unfurnished,16327754.600538854
Lower Parel,1991,3,2,2.0,23.0,25.0,Semi-Furnished,24712043.931343965
Vikhroli,3511,2,2,2.0,8.0,6.0,Semi-Furnished,31000358.397507172
Juhu,2289,3,3,2.0,6.0,6.0,Furnished,35194644.25984275
Andheri,2487,3,2,1.0,15.0,,Semi-Furnished,25496461.44261896
Goregaon,2396,4,4,1.0,,15.0,Furnished,23112839.367474794
Juhu,2172,3,4,1.0,6.0,2.0,Unfurnished,32559227.202053796
Juhu,1712,3,3,2.0,5.0,9.0,Semi-Furnished,27199189.7102775
Andheri,1685,2,2,0.0,17.0,6.0,Unfurnished,15435000.496709554
Vikhroli,615,2,1,0.0,18.0,20.0,Furnished,4832858.5102317305
Thane,3618,2,2,0.0,10.0,36.0,Furnished,22599446.757209525
Mulund,2783,2,3,1.0,28.0,30.0,Unfurnished,20151669.594674714
Malad,3639,3,2,1.0,11.0,22.0,Semi-Furnished,28789639.46076487
Mulund,2539,3,3,1.0,28.0,26.0,Semi-Furnished,20674971.701076534
Kandivali,2800,3,2,2.0,25.0,21.0,Unfurnished,18798550.04161558
Kurla,3018,4,4,2.0,9.0,,Semi-Furnished,18617086.674446102
Malad,3263,5,4,1.0,12.0,26.0,Furnished,31738360.675406683
Kandivali,2104,4,5,1.0,11.0,3.0,Unfurnished,15489784.82184048
Goregaon,3228,3,4,2.0,20.0,23.0,Furnished,25784093.22777179
Kurla,762,3,3,2.0,9.0,22.0,Unfurnished,4744528.838501175
Bandra,3004,2,2,1.0,19.0,18.0,Furnished,41617298.31715719
Andheri,3816,1,2,1.0,17.0,2.0,Semi-Furnished,41750900.364064254
Malad,2116,2,2,1.0,3.0,26.0,Furnished,16331773.59588259
Malad,1593,4,4,2.0,27.0,2.0,Unfurnished,13839785.278800216
Worli,755,4,4,1.0,23.0,27.0,Furnished,12346121.596683033
Goregaon,590,2,1,1.0,4.0,16.0,Unfurnished,4370454.329366593
Thane,2869,3,2,0.0,4.0,,Semi-Furnished,18621343.547280185
Juhu,1099,4,4,2.0,28.0,9.0,Furnished,19860977.665097147
Kurla,2454,1,1,1.0,27.0,21.0,Unfurnished,13609390.201446038
Goregaon,2580,2,2,0.0,11.0,29.0,Semi-Furnished,19963001.831919756
Borivali,956,4,4,1.0,25.0,20.0,Furnished,8828946.00466679
Vikhroli,1225,2,3,1.0,2.0,35.0,Furnished,8437293.65951917
Juhu,3208,1,2,1.0,28.0,22.0,Semi-Furnished,52703345.724741556
Andheri,1454,3,4,1.0,7.0,37.0,Furnished,11777206.327221878
Juhu,2982,4,4,1.0,21.0,11.0,Furnished,52609640.27470097
Thane,825,3,2,2.0,1.0,24.0,Furnished,5413608.777162242
Lower Parel,3865,2,2,0.0,17.0,19.0,Semi-Furnished,52531541.38962901
Worli,3119,2,1,0.0,8.0,6.0,Semi-Furnished,44913972.04823546
Juhu,2810,3,2,0.0,,,Furnished,44614727.79807596
Andheri,3908,3,3,1.0,6.0,28.0,Unfurnished,34370434.161412664
Thane,1974,3,3,1.0,,12.0,Unfurnished,13471194.387575539
Mulund,2529,1,2,2.0,8.0,2.0,Furnished,23463351.765813038
Malad,2803,4,4,1.0,29.0,1.0,Furnished,28661099.37192636
Lower Parel,3729,1,1,1.0,21.0,15.0,Unfurnished,45997869.36898896
Worli,988,2,1,2.0,14.0,29.0,Semi-Furnished,11403411.527035164
Malad,2412,1,2,1.0,4.0,37.0,Semi-Furnished,16987658.357306946
Vikhroli,1947,2,2,2.0,11.0,5.0,Semi-Furnished,15222658.202937339
Kandivali,694,3,4,1.0,0.0,6.0,Unfurnished,5302530.454088711
Lower Parel,2385,3,4,1.0,11.0,4.0,Furnished,38410580.68315835
Lower Parel,1647,2,2,1.0,21.0,6.0,Unfurnished,21630481.279187363
Mulund,1948,3,3,1.0,,33.0,Unfurnished,13019962.572051836
Mulund,3517,1,1,0.0,18.0,31.0,Semi-Furnished,23383307.393859085
Kurla,2090,3,3,1.0,18.0,12.0,Unfurnished,16204035.810961181
Dadar,1536,4,4,1.0,15.0,29.0,Furnished,18585883.238883756
Juhu,1656,2,2,2.0,18.0,24.0,Semi-Furnished,24044721.73442055
Lower Parel,2464,3,4,1.0,2.0,20.0,Semi-Furnished,35714610.81908478
Malad,759,2,3,2.0,22.0,20.0,Semi-Furnished,6553361.289225865
Andheri,3694,1,1,1.0,9.0,27.0,Furnished,33646081.80929295
Powai,3313,2,2,1.0,26.0,19.0,Semi-Furnished,35786778.74436784
Dadar,1099,3,3,1.0,17.0,33.0,Furnished,12579865.504087731
Powai,847,3,2,1.0,25.0,4.0,Furnished,11026714.634763807
Worli,3303,2,1,,12.0,17.0,Furnished,46471441.489197984
Thane,2812,4,4,1.0,25.0,38.0,Unfurnished,18918813.157526072
Malad,1074,3,3,1.0,17.0,10.0,Furnished,11082296.871257242
Malad,1407,4,3,0.0,2.0,,Semi-Furnished,12022668.373162126
Dadar,1749,3,4,1.0,25.0,21.0,Furnished,20489729.202119812
Lower Parel,2914,3,2,1.0,27.0,36.0,Furnished,40787706.28537432
Vikhroli,2861,2,2,1.0,22.0,19.0,Semi-Furnished,21063099.827731032
Dadar,3926,2,2,1.0,2.0,5.0,Furnished,52925627.22709944
Powai,985,5,4,1.0,22.0,33.0,Semi-Furnished,9980138.96084442
Dadar,1656,2,1,0.0,24.0,13.0,Semi-Furnished,20040432.20463941
Malad,1647,5,5,0.0,26.0,22.0,Unfurnished,14429705.005649975
Vikhroli,1393,3,3,,25.0,19.0,Unfurnished,9182501.961532747
Juhu,1835,2,2,2.0,11.0,12.0,Semi-Furnished,28477787.361897055
Borivali,971,1,1,1.0,26.0,31.0,Unfurnished,6253791.346763028
Kurla,2782,2,2,1.0,19.0,25.0,Furnished,21509272.52093557
Bandra,1645,4,3,,6.0,13.0,Semi-Furnished,28504599.65315208
Mulund,2484,2,3,1.0,24.0,35.0,Unfurnished,14188155.03270761
Dadar,1388,2,1,2.0,29.0,7.0,Furnished,20346418.053549804
Worli,677,2,3,0.0,,39.0,Furnished,10072144.328835592
Kandivali,1619,2,2,1.0,7.0,21.0,Furnished,13375254.309316505
Thane,3363,3,4,1.0,8.0,21.0,Semi-Furnished,22574078.044513356
Borivali,2287,2,1,0.0,13.0,15.0,Semi-Furnished,16910969.98782426
Kurla,883,4,4,1.0,4.0,26.0,Semi-Furnished,5238084.865518599
Kurla,1665,2,1,1.0,29.0,9.0,Semi-Furnished,10250489.132393073
Kurla,3795,2,1,1.0,20.0,24.0,Semi-Furnished,24688208.12328224
Kurla,1130,3,3,1.0,18.0,30.0,Unfurnished,7246034.6043851655
Powai,2639,2,2,,20.0,20.0,Furnished,30929368.002505828
Worli,1440,5,5,1.0,15.0,26.0,Unfurnished,21507359.101913236
Worli,2971,3,2,1.0,23.0,16.0,Semi-Furnished,54872176.73143418
Vikhroli,1317,1,1,1.0,11.0,32.0,Unfurnished,7848409.559675705
Mulund,2848,3,3,0.0,20.0,30.0,Unfurnished,18491866.485244807
Malad,1285,2,2,1.0,3.0,25.0,Semi-Furnished,9890854.26451018
Kurla,3152,1,1,1.0,7.0,20.0,Furnished,22425578.36947384
Kandivali,421,5,5,1.0,6.0,35.0,Semi-Furnished,2823489.645037765
Malad,873,3,4,2.0,14.0,0.0,Unfurnished,7976159.149831507
Worli,3591,5,5,2.0,29.0,3.0,Semi-Furnished,56916737.36002933
Andheri,2657,3,3,1.0,,3.0,Furnished,29440870.68389439
Andheri,2753,3,4,1.0,5.0,25.0,Furnished,25989138.30199764
Kandivali,3741,2,2,1.0,4.0,3.0,Unfurnished,25616569.110168815
Vikhroli,1103,2,2,1.0,13.0,8.0,Furnished,7749087.053449659
Worli,1086,4,4,0.0,20.0,29.0,Furnished,16762758.200953316
Kandivali,684,2,2,0.0,12.0,3.0,Semi-Furnished,5940600.923590465
Powai,1115,4,4,2.0,9.0,4.0,Unfurnished,13952891.844846731
Dadar,1162,3,2,1.0,17.0,22.0,Semi-Furnished,14693040.673287667
Kandivali,1650,2,1,1.0,28.0,15.0,Semi-Furnished,11708905.2670849
Juhu,1347,3,4,1.0,3.0,21.0,Semi-Furnished,21255269.09134727
Malad,2828,3,3,1.0,7.0,36.0,Furnished,19331074.606177792
Borivali,2907,2,2,0.0,23.0,7.0,Unfurnished,22697174.735177595
Goregaon,1430,4,4,0.0,10.0,32.0,Semi-Furnished,12685601.685128426
Vikhroli,428,3,3,0.0,16.0,37.0,Semi-Furnished,3162818.6607893216
Kandivali,1306,2,1,1.0,17.0,15.0,Unfurnished,10835600.495402593
Worli,3504,3,2,1.0,20.0,4.0,Unfurnished,57130022.10880635
Thane,3326,5,6,0.0,24.0,15.0,Semi-Furnished,27219978.481723346
Andheri,2526,2,3,1.0,25.0,6.0,Furnished,28759128.996230986
Juhu,3394,4,4,1.0,10.0,0.0,Unfurnished,62143818.62452715
Mulund,2906,2,2,1.0,15.0,8.0,Semi-Furnished,21808589.608836222
Kurla,969,3,3,2.0,11.0,17.0,Unfurnished,5763248.506722894
Goregaon,2406,3,3,1.0,12.0,2.0,Unfurnished,22771041.4694035
Lower Parel,3953,2,2,2.0,26.0,23.0,Furnished,65292698.21798213
Vikhroli,1853,2,1,2.0,15.0,27.0,Unfurnished,13080214.39490994
Borivali,1137,3,3,1.0,,9.0,Semi-Furnished,7854422.84520781
Goregaon,3756,3,3,1.0,25.0,8.0,Semi-Furnished,32908497.448824506
Kandivali,915,3,4,2.0,20.0,12.0,Furnished,7566783.754579393
Powai,2400,2,1,1.0,0.0,34.0,Unfurnished,18699139.592181243
Andheri,3570,4,4,1.0,15.0,22.0,Semi-Furnished,29850074.937815234
Worli,2844,3,3,2.0,14.0,16.0,Semi-Furnished,41344641.54252387
Andheri,3960,4,4,1.0,5.0,6.0,Unfurnished,39037794.509760424
Mulund,438,2,1,1.0,11.0,15.0,Semi-Furnished,3094563.769534815
Powai,3742,3,3,1.0,,39.0,Semi-Furnished,31911359.331140712
Kurla,1286,3,3,1.0,6.0,35.0,Unfurnished,8512719.109830907
Worli,3244,2,2,1.0,,19.0,Unfurnished,41109661.52099621
Malad,2604,3,3,1.0,11.0,23.0,Unfurnished,19137117.18248366
Bandra,1498,1,1,1.0,20.0,4.0,Unfurnished,21654583.38648666
Juhu,3331,3,3,,13.0,5.0,Semi-Furnished,53873416.351537995
Andheri,2223,3,4,1.0,15.0,27.0,Semi-Furnished,21816845.708255958
Thane,3601,1,1,1.0,10.0,4.0,Furnished,26249271.533660214
Andheri,2110,3,3,1.0,19.0,38.0,Semi-Furnished,17951706.409833096
Goregaon,1373,3,3,1.0,8.0,37.0,Semi-Furnished,10317488.471911622
Andheri,3555,1,1,,9.0,1.0,Unfurnished,27551673.158182394
Vikhroli,3493,5,5,1.0,16.0,,Furnished,26679648.071009047
Andheri,3930,4,4,2.0,11.0,20.0,Furnished,34974210.252656534
Bandra,1962,3,2,0.0,,39.0,Furnished,29468535.06063392
Bandra,3296,1,2,1.0,18.0,36.0,Furnished,42098703.63941576
Kurla,3853,3,3,1.0,10.0,17.0,Semi-Furnished,28197882.08592324
Borivali,3195,3,3,2.0,8.0,11.0,Furnished,26036849.51918728
Malad,3911,2,1,0.0,20.0,16.0,Furnished,31942021.552769523
Thane,1388,3,3,1.0,28.0,36.0,Furnished,10145549.233131872
Andheri,420,3,3,0.0,5.0,37.0,Unfurnished,2925699.6346049425
Andheri,2750,3,3,1.0,26.0,14.0,Unfurnished,25664268.879110314
Juhu,1268,2,2,1.0,24.0,6.0,Furnished,24716182.024625953
Worli,483,3,2,1.0,24.0,13.0,Unfurnished,7601120.384726162
Bandra,2082,4,4,1.0,23.0,,Semi-Furnished,35176111.37671453
Thane,2376,2,1,2.0,24.0,37.0,Furnished,15968155.530443555
Kurla,3924,3,3,1.0,15.0,2.0,Semi-Furnished,26523546.308062725
Mulund,1810,4,4,0.0,19.0,36.0,Furnished,13369191.18425925
Borivali,1930,3,4,1.0,15.0,30.0,Unfurnished,11605807.848125346
Malad,3728,2,1,2.0,5.0,12.0,Furnished,33058971.997388262
Powai,969,3,3,1.0,4.0,17.0,Unfurnished,10813881.111950085
Malad,1333,3,2,2.0,20.0,,Furnished,11403395.646130783
Vikhroli,3998,4,4,2.0,3.0,,Semi-Furnished,27458216.076341044
Goregaon,3633,3,3,0.0,1.0,10.0,Unfurnished,30899469.13509035
Vikhroli,2380,5,6,1.0,27.0,19.0,Furnished,18938122.03062728
Andheri,3634,1,1,,5.0,9.0,Semi-Furnished,34817901.95163265
Lower Parel,2255,1,1,1.0,8.0,28.0,Semi-Furnished,31198876.836948838
Borivali,3456,3,3,1.0,27.0,33.0,Semi-Furnished,23068722.924655523
Goregaon,1192,2,1,1.0,16.0,16.0,Furnished,10110976.001939844
Thane,1191,2,1,2.0,13.0,12.0,Furnished,8190222.956670788
Powai,3995,2,2,1.0,6.0,38.0,Semi-Furnished,37984093.81157246
Bandra,2209,2,1,2.0,21.0,,Semi-Furnished,31988232.60243564
Borivali,1694,1,1,0.0,18.0,25.0,Semi-Furnished,11587262.815891242
Borivali,2939,5,5,0.0,0.0,27.0,Furnished,23606124.693806052
Vikhroli,2655,2,2,2.0,28.0,12.0,Semi-Furnished,18532757.98943201
Lower Parel,2007,3,2,1.0,19.0,11.0,Semi-Furnished,24764946.813340846
Andheri,1483,3,3,1.0,29.0,27.0,Semi-Furnished,12716802.592501385
Kandivali,2877,4,4,1.0,,1.0,Semi-Furnished,20830881.509736326
Kurla,1384,1,1,1.0,14.0,36.0,Furnished,8304112.507660398
Vikhroli,2080,4,4,1.0,17.0,33.0,Furnished,16067396.472439999
Borivali,3780,3,2,1.0,2.0,22.0,Furnished,29830503.62030012
Dadar,919,3,3,1.0,17.0,28.0,Semi-Furnished,8903257.57841461
Juhu,990,3,3,2.0,29.0,,Furnished,17486198.37052899
Powai,1450,4,4,1.0,1.0,10.0,Semi-Furnished,16460035.968452401
Kurla,2109,2,3,,9.0,32.0,Semi-Furnished,11828921.911698408
Vikhroli,2435,3,3,1.0,10.0,10.0,Semi-Furnished,18073600.291167267
Powai,2646,3,3,1.0,26.0,8.0,Semi-Furnished,30034920.54674823
Juhu,2834,3,3,0.0,23.0,13.0,Furnished,47861398.680650875
Mulund,748,5,5,1.0,2.0,8.0,Semi-Furnished,6758777.8130161585
Juhu,1359,2,1,2.0,6.0,38.0,Unfurnished,16360186.732016034
Lower Parel,2363,5,4,1.0,7.0,2.0,Semi-Furnished,36850752.82413132
Juhu,1092,1,1,0.0,18.0,28.0,Unfurnished,13597671.295364343
Powai,1959,1,1,1.0,17.0,18.0,Unfurnished,19687162.85666285
Malad,777,1,1,1.0,12.0,35.0,Semi-Furnished,5457380.902015272
Powai,3346,2,2,2.0,12.0,31.0,Furnished,36511542.5833573
Kandivali,3363,3,3,2.0,23.0,6.0,Semi-Furnished,27406983.587354768
Andheri,926,1,1,1.0,18.0,27.0,Furnished,8263044.8181893155
Goregaon,3624,1,2,,22.0,17.0,Semi-Furnished,27141315.34000026
Malad,3181,4,3,1.0,11.0,4.0,Unfurnished,24835386.89324185
Bandra,2653,4,4,1.0,16.0,22.0,Unfurnished,40239046.91070042
Goregaon,2902,4,4,2.0,29.0,21.0,Semi-Furnished,23022332.388718553
Andheri,3744,4,4,,27.0,25.0,Semi-Furnished,31172234.764780466
Vikhroli,1659,3,3,1.0,21.0,11.0,Semi-Furnished,14363124.245468775
Kurla,2275,2,1,1.0,11.0,39.0,Unfurnished,12899817.655955307
Kandivali,2163,2,2,2.0,27.0,18.0,Unfurnished,16268128.595523246
Kandivali,920,3,3,1.0,12.0,0.0,Unfurnished,7734310.92988867
Bandra,2101,2,2,1.0,24.0,2.0,Furnished,37418090.45531223
Malad,1416,3,4,1.0,11.0,26.0,Semi-Furnished,10519980.199858664
Lower Parel,3403,1,1,1.0,18.0,17.0,Furnished,46261996.65412893
Worli,3173,2,2,1.0,13.0,29.0,Furnished,50722742.01902413
Mulund,1413,3,3,1.0,6.0,1.0,Unfurnished,10904047.679401135
Juhu,2948,3,3,1.0,12.0,4.0,Unfurnished,49706205.40959295
Malad,516,3,3,1.0,5.0,28.0,Furnished,4383739.018377157
Kurla,2833,3,3,1.0,23.0,32.0,Furnished,20582327.906126484
Mulund,1767,1,1,,18.0,19.0,Furnished,15286493.312086353
Kandivali,983,2,3,1.0,18.0,29.0,Unfurnished,6296705.529683134
Powai,794,4,5,1.0,3.0,4.0,Furnished,10762177.91650874
Kurla,1487,3,4,0.0,18.0,20.0,Furnished,9625390.65481351
Andheri,3168,2,1,1.0,8.0,14.0,Furnished,34642674.82484432
Bandra,471,4,4,2.0,15.0,19.0,Semi-Furnished,8025795.578557896
Andheri,673,2,2,1.0,26.0,7.0,Unfurnished,6217830.6349744275
Worli,2413,3,2,1.0,3.0,30.0,Furnished,35460343.179349445
Kurla,1743,2,2,,5.0,11.0,Semi-Furnished,13045566.934960298
